,Total_Population,CO2_Emissions_by_Sector_Building,CO2_Emissions_by_Sector_Bunker_Fuels,CO2_Emissions_by_Sector_Electricity_Heat,CO2_Emissions_by_Sector_Energy,CO2_Emissions_by_Sector_Fugitive_Emissions,CO2_Emissions_by_Sector_Industrial_Processes,CO2_Emissions_by_Sector_Land_Use_Change_and_Forestry,CO2_Emissions_by_Sector_Manufacturing_Construction,CO2_Emissions_by_Sector_Other_Fuel_Combustion,CO2_Emissions_by_Sector_Transportation,Net_Electricity_Consumption,income_group
292,21362541.0,5.5,1.63,29.27,57.54,0.27,2.15,-0.67,7.35,2.19,12.96,36.33,2
293,21081814.0,5.69,1.61,26.42,54.15,0.44,1.77,-0.68,6.57,2.12,12.92,32.82,2
294,20438861.0,4.68,1.28,21.78,43.91,0.16,2.09,-0.68,5.01,1.7,10.57,27.53,2
295,19578466.0,2.88,0.79,14.93,29.14,0.55,1.39,-0.68,3.24,1.04,6.51,18.02,2
296,18710711.0,2.68,0.73,12.62,25.74,0.44,1.33,-0.68,3.0,0.97,6.04,15.45,2
297,17997411.0,2.54,0.66,11.95,24.64,0.9,1.4,-0.68,2.67,0.87,5.71,12.9,2
298,68144519.0,7.5,23.76,114.78,247.53,0.11,14.93,0.26,50.56,12.12,62.46,161.15,1
299,68438748.0,6.81,23.42,113.62,244.01,0.11,14.66,0.71,50.74,12.17,60.56,162.38,1
300,68714519.0,6.51,23.93,110.21,247.9,0.09,15.18,0.26,54.13,12.08,64.88,167.06,1
301,68971313.0,6.56,21.93,110.36,243.98,0.09,16.74,13.06,48.65,9.27,69.07,183.88,1
302,69209817.0,6.69,21.46,103.98,243.92,0.09,16.74,13.04,49.61,8.23,75.32,183.79,1
303,69428454.0,6.73,23.21,105.57,241.12,0.09,16.74,13.04,43.94,8.91,75.88,185.55,1
304,10635245.0,2.31,1.82,8.44,23.95,0.66,3.49,-1.31,4.62,1.06,6.86,13.1,1
305,10741872.0,2.3,1.71,8.32,22.68,0.44,3.04,3.88,4.24,0.98,6.4,13.05,1
306,10846993.0,2.37,1.88,9.09,23.75,0.27,2.93,3.88,4.66,1.0,6.36,14.02,1
307,10952949.0,2.52,1.91,9.25,23.81,0.16,2.96,3.88,4.79,1.03,6.06,14.31,1
308,11063195.0,2.55,1.92,9.7,25.2,0.16,3.63,3.88,5.35,1.11,6.33,14.94,1
309,11179951.0,2.66,1.79,9.72,25.88,0.27,3.79,3.88,5.36,1.16,6.73,15.09,2
310,11303942.0,2.62,1.85,9.13,25.39,0.18,3.59,-3.79,5.2,1.18,7.08,15.32,2
311,11433438.0,2.79,2.07,9.28,26.3,0.14,3.59,-3.79,5.18,1.29,7.62,15.63,2
312,11565203.0,2.88,2.18,9.47,26.39,0.14,3.59,-3.79,4.96,1.3,7.63,15.84,2
313,62766365.0,101.86,33.22,209.09,477.99,1.37,3.79,-10.96,44.88,3.94,116.85,330.97,0
314,63258810.0,82.31,34.52,197.4,440.33,1.15,4.1,-10.96,40.17,3.9,115.4,320.48,0
315,63700215.0,90.46,33.64,211.57,463.36,1.91,3.72,-10.96,40.21,4.29,114.91,322.17,0
316,64128273.0,91.76,33.32,195.92,449.03,2.02,4.03,-10.96,40.89,4.26,114.17,321.96,0
317,64602298.0,77.7,33.22,170.88,410.63,1.97,4.22,-10.96,40.57,3.86,115.64,309.14,0
318,65116219.0,81.55,33.5,150.35,395.92,1.9,4.45,-10.96,39.16,4.15,118.82,311.12,0
319,65611593.0,86.6,34.95,125.94,374.34,1.99,4.55,-10.96,32.07,6.11,121.63,309.42,0
320,66058859.0,84.05,37.64,114.6,361.97,2.02,4.41,-10.96,32.98,6.22,122.09,305.8,0
321,66460344.0,87.01,37.61,106.64,354.39,2.02,4.41,-10.96,31.96,6.1,120.66,306.91,0
322,309327143.0,545.06,116.65,2609.56,5361.42,9.3,31.45,-401.91,466.39,51.34,1679.77,3889.29,0
323,311583481.0,522.21,113.35,2488.67,5139.89,11.71,32.21,-418.98,435.76,47.95,1633.59,3886.63,0
324,313877662.0,460.55,107.86,2360.2,4914.94,11.93,35.27,-419.05,438.64,46.1,1597.53,3838.8,0
325,316059947.0,528.01,113.25,2378.54,5053.13,14.61,36.37,-419.16,434.89,50.15,1646.94,3876.51,0
326,318386329.0,545.08,112.9,2376.19,5063.14,16.58,39.44,-419.23,437.26,48.19,1639.85,3914.51,0
327,320738994.0,512.54,119.07,2234.02,4942.88,14.26,39.91,-419.26,433.89,48.12,1700.05,3914.3,0
328,323071755.0,496.47,119.96,2145.51,4849.2,10.73,39.44,-231.8,439.02,46.25,1711.22,3921.11,0
329,325122128.0,497.9,119.69,2064.52,4773.4,12.1,40.32,-231.82,429.41,45.46,1724.02,3888.31,0
330,326838199.0,550.68,121.63,2103.17,4940.08,18.96,41.21,-231.73,458.79,46.25,1762.24,4032.63,0
331,31298900.0,29.18,1.76,46.26,98.29,1.26,3.24,-3.12,10.59,3.54,7.47,44.24,2
332,31847900.0,31.28,1.76,47.67,103.94,1.08,3.41,-3.37,11.32,5.25,7.34,45.41,2
333,32388600.0,34.32,1.71,48.54,107.97,0.9,3.41,-3.37,12.38,3.92,7.92,47.59,2
334,32956100.0,26.93,0.1,52.95,108.68,0.72,3.41,-3.37,11.39,1.66,15.02,55.28,2
335,87967655.0,10.88,3.14,41.5,128.14,1.48,21.3,18.24,41.57,1.64,31.07,85.64,2
336,88871384.0,10.62,2.89,40.28,126.98,0.98,22.04,-22.64,42.95,1.64,30.51,93.82,2
337,89801926.0,9.84,3.07,41.47,126.34,1.15,20.94,-22.67,42.31,1.51,30.06,103.93,2
338,90752593.0,10.73,3.37,44.46,131.64,1.15,21.99,-20.91,44.54,1.45,29.3,106.78,2
339,91713850.0,10.46,3.03,53.01,145.47,1.09,23.09,-22.12,49.55,1.39,29.96,121.64,2
340,92677082.0,13.72,3.49,71.1,183.67,1.08,25.53,-22.67,63.3,1.43,33.05,144.72,2
341,93640435.0,13.07,3.57,79.76,194.61,0.99,29.26,-12.17,63.01,1.27,36.49,162.83,2
342,94600643.0,15.78,4.04,71.57,192.29,1.05,29.84,-12.48,64.33,1.38,38.19,178.93,2
343,95545959.0,15.79,4.75,109.13,227.57,1.05,30.29,-12.5,63.91,1.38,36.32,196.83,2
